User ID,Age,Gender,Education Level,Profession,Skill Category,Initial Skill Level,Training Hours,Confidence Level,Feedback Score,Activity Participation,Current Skill Level,Progress (%)
32,20,Male,High School,Software Engineer,Writing Skills,6,14,1,6,12,8.6,43.3
33,31,Other,High School,Manager,Leadership,4,43,4,8,15,9.9,147.5
34,29,Male,Master's,Student,Persuasive Speaking,8,32,3,3,2,10.0,25.0
35,25,Female,High School,Data Scientist,Conflict Resolution,3,40,1,9,18,8.8,193.3
36,32,Other,High School,Software Engineer,Leadership,9,17,3,9,13,10.0,11.1
37,31,Male,High School,Student,Writing Skills,2,36,4,2,14,6.0,200.0
38,28,Female,Bachelor's,Software Engineer,Communication,2,40,8,8,5,7.6,280.0
39,20,Other,PhD,Student,Persuasive Speaking,7,41,9,10,10,10.0,42.9
40,30,Other,Master's,Student,Emotional Intelligence,10,30,3,5,12,10.0,0.0
41,30,Male,Master's,Software Engineer,Conflict Resolution,4,26,6,4,10,7.4,85.0
42,34,Male,Bachelor's,Data Scientist,Leadership,10,8,10,10,11,10.0,0.0
43,29,Male,PhD,Student,Communication,8,35,5,5,2,10.0,25.0
44,35,Female,Master's,Student,Emotional Intelligence,9,22,6,4,5,10.0,11.1
45,31,Male,High School,Student,Critical Thinking,7,42,4,8,7,10.0,42.9
46,31,Other,Master's,Data Scientist,Leadership,5,28,10,4,6,8.6,72.0
47,35,Other,High School,Data Scientist,Leadership,8,27,6,10,3,10.0,25.0
48,34,Male,Bachelor's,Manager,Emotional Intelligence,4,26,7,6,13,7.8,95.0
49,33,Male,High School,Software Engineer,Communication,2,6,9,2,3,3.0,50.0
50,33,Other,Master's,Data Scientist,Critical Thinking,6,35,10,5,6,10.0,66.7
51,34,Female,Master's,Software Engineer,Writing Skills,9,15,7,6,11,10.0,11.1
52,33,Male,Master's,Manager,Communication,1,32,6,5,17,5.2,420.0
53,22,Male,Bachelor's,Software Engineer,Persuasive Speaking,10,36,1,2,10,10.0,0.0
54,31,Other,Bachelor's,Data Scientist,Conflict Resolution,7,9,2,7,12,9.3,32.9
55,26,Male,PhD,Software Engineer,Emotional Intelligence,10,42,1,4,17,10.0,0.0
56,23,Female,Master's,Data Scientist,Writing Skills,9,14,9,8,4,10.0,11.1
57,35,Other,High School,Software Engineer,Critical Thinking,10,44,10,7,2,10.0,0.0
58,28,Male,Bachelor's,Data Scientist,Emotional Intelligence,9,28,10,7,11,10.0,11.1
59,22,Other,Master's,Data Scientist,Emotional Intelligence,10,39,9,9,7,10.0,0.0
60,24,Male,Master's,Software Engineer,Communication,3,48,7,1,2,8.0,166.7
61,22,Male,Bachelor's,Manager,Conflict Resolution,5,27,2,10,18,9.7,94.0
62,26,Male,PhD,Student,Persuasive Speaking,8,21,6,6,4,10.0,25.0
63,24,Female,Bachelor's,Manager,Leadership,8,5,4,6,8,9.7,21.2
64,28,Female,Bachelor's,Software Engineer,Leadership,4,35,1,6,14,8.7,117.5
65,26,Other,High School,Manager,Emotional Intelligence,1,35,1,6,12,5.7,470.0
66,21,Male,High School,Data Scientist,Conflict Resolution,1,46,5,10,18,7.6,660.0
67,23,Male,PhD,Student,Critical Thinking,4,46,2,7,11,10.0,150.0
68,28,Female,Master's,Software Engineer,Critical Thinking,6,38,4,10,8,10.0,66.7
69,31,Male,Bachelor's,Software Engineer,Writing Skills,8,13,1,6,2,10.0,25.0
70,33,Female,PhD,Software Engineer,Communication,6,26,4,1,15,8.8,46.7
71,21,Male,High School,Student,Conflict Resolution,9,17,6,3,9,10.0,11.1
72,29,Other,Bachelor's,Data Scientist,Conflict Resolution,9,29,10,2,19,10.0,11.1
73,28,Male,Master's,Software Engineer,Communication,2,22,4,6,8,5.4,170.0
74,29,Male,High School,Manager,Critical Thinking,10,16,1,8,19,10.0,0.0
75,24,Female,High School,Software Engineer,Critical Thinking,1,44,7,3,5,6.0,500.0
76,21,Male,High School,Software Engineer,Critical Thinking,2,21,2,10,11,6.1,205.0
77,23,Male,PhD,Software Engineer,Emotional Intelligence,5,19,9,8,15,8.5,70.0
78,31,Female,Master's,Software Engineer,Conflict Resolution,4,46,3,8,8,10.0,150.0
79,34,Other,Bachelor's,Data Scientist,Leadership,4,19,8,5,19,6.9,72.5
80,31,Other,PhD,Manager,Communication,9,19,8,8,8,10.0,11.1
81,26,Female,PhD,Data Scientist,Critical Thinking,8,43,3,6,19,10.0,25.0
82,31,Female,PhD,Manager,Writing Skills,6,17,4,5,18,8.7,45.0
83,32,Female,High School,Software Engineer,Critical Thinking,1,21,2,9,10,4.9,390.0
84,27,Female,Master's,Student,Critical Thinking,2,36,4,7,7,7.0,250.0
85,34,Female,PhD,Data Scientist,Persuasive Speaking,6,13,9,8,9,8.9,48.3
86,22,Other,Bachelor's,Student,Emotional Intelligence,2,44,2,1,1,6.6,230.0
87,33,Other,Master's,Data Scientist,Communication,10,24,3,2,19,10.0,0.0
88,20,Female,Bachelor's,Software Engineer,Persuasive Speaking,5,30,4,8,5,9.6,92.0
89,23,Male,Master's,Data Scientist,Persuasive Speaking,5,31,5,9,19,9.9,98.0
90,21,Female,Bachelor's,Software Engineer,Writing Skills,6,25,1,4,1,9.3,55.0
91,27,Male,High School,Data Scientist,Conflict Resolution,6,22,7,10,15,10.0,66.7
92,23,Female,PhD,Software Engineer,Writing Skills,6,17,10,10,16,9.7,61.7
93,21,Female,Bachelor's,Software Engineer,Conflict Resolution,2,20,7,9,7,5.8,190.0
94,33,Other,Master's,Manager,Conflict Resolution,10,13,9,4,12,10.0,0.0
95,25,Male,PhD,Software Engineer,Communication,3,16,4,10,8,6.6,120.0
96,25,Male,PhD,Manager,Critical Thinking,6,48,6,10,5,10.0,66.7
97,29,Other,Master's,Software Engineer,Communication,8,42,2,10,10,10.0,25.0
98,23,Other,Bachelor's,Student,Emotional Intelligence,1,23,4,9,5,5.1,410.0
99,25,Other,High School,Software Engineer,Conflict Resolution,1,11,2,7,17,3.5,250.0
100,32,Other,High School,Student,Persuasive Speaking,2,39,10,2,5,6.3,215.0
101,34,Male,Bachelor's,Student,Critical Thinking,6,22,5,9,15,10.0,66.7
102,21,Male,PhD,Software Engineer,Leadership,9,20,7,4,13,10.0,11.1
103,29,Female,PhD,Student,Emotional Intelligence,4,43,1,8,1,9.9,147.5
104,31,Female,PhD,Manager,Communication,3,8,10,7,11,5.2,73.3
105,21,Other,PhD,Data Scientist,Writing Skills,8,29,10,7,1,10.0,25.0
106,29,Other,Bachelor's,Software Engineer,Emotional Intelligence,10,36,7,8,11,10.0,0.0
107,33,Other,PhD,Student,Emotional Intelligence,9,44,10,1,18,10.0,11.1
108,23,Female,Master's,Software Engineer,Critical Thinking,5,17,6,5,18,7.7,54.0
109,33,Female,PhD,Manager,Emotional Intelligence,9,49,6,2,16,10.0,11.1
110,34,Female,High School,Software Engineer,Emotional Intelligence,2,21,8,2,13,4.5,125.0
111,35,Female,PhD,Software Engineer,Leadership,3,41,8,1,7,7.3,143.3
112,34,Female,Bachelor's,Student,Writing Skills,7,10,6,5,1,9.0,28.6
113,27,Female,High School,Manager,Writing Skills,7,23,3,2,16,9.7,38.6
114,33,Female,Bachelor's,Data Scientist,Writing Skills,6,17,5,4,1,8.5,41.7
115,26,Other,Bachelor's,Data Scientist,Conflict Resolution,6,30,2,3,17,9.6,60.0
116,31,Other,High School,Student,Persuasive Speaking,2,18,5,3,6,4.4,120.0
117,28,Other,Bachelor's,Software Engineer,Writing Skills,10,35,9,2,2,10.0,0.0
118,33,Other,Bachelor's,Student,Emotional Intelligence,6,8,10,6,17,8.0,33.3
119,27,Female,PhD,Student,Emotional Intelligence,4,43,1,2,6,8.7,117.5
120,24,Male,Master's,Student,Writing Skills,3,12,10,8,14,5.8,93.3
121,35,Female,Bachelor's,Software Engineer,Critical Thinking,2,29,5,8,18,6.5,225.0
122,32,Male,Bachelor's,Manager,Writing Skills,1,17,6,5,6,3.7,270.0
123,21,Other,Bachelor's,Student,Emotional Intelligence,5,36,7,10,10,10.0,100.0
124,34,Female,PhD,Software Engineer,Conflict Resolution,2,42,9,7,18,7.6,280.0
125,24,Other,Master's,Manager,Communication,2,42,6,4,9,7.0,250.0
126,27,Female,High School,Student,Communication,7,32,5,1,8,10.0,42.9
127,29,Other,PhD,Data Scientist,Writing Skills,8,34,7,2,10,10.0,25.0
128,28,Male,PhD,Manager,Leadership,10,7,1,10,17,10.0,0.0
129,31,Male,Master's,Student,Writing Skills,8,32,5,10,6,10.0,25.0
130,31,Male,Master's,Manager,Critical Thinking,4,7,2,4,14,5.5,37.5
131,31,Female,PhD,Manager,Writing Skills,1,49,4,1,6,6.1,510.0
132,32,Male,High School,Manager,Communication,7,38,7,8,7,10.0,42.9
133,28,Female,PhD,Manager,Emotional Intelligence,1,20,5,9,12,4.8,380.0
134,32,Male,Master's,Manager,Writing Skills,4,26,6,4,3,7.4,85.0
135,34,Male,High School,Manager,Emotional Intelligence,8,36,2,10,14,10.0,25.0
136,32,Female,Master's,Student,Emotional Intelligence,2,42,3,3,19,6.8,240.0
137,20,Female,High School,Data Scientist,Leadership,6,12,7,2,16,7.6,26.7
138,28,Male,Bachelor's,Software Engineer,Emotional Intelligence,6,12,2,5,7,8.2,36.7
139,26,Female,Master's,Manager,Communication,9,10,6,3,8,10.0,11.1
140,28,Male,Master's,Software Engineer,Conflict Resolution,5,18,5,10,18,8.8,76.0
141,27,Female,PhD,Student,Conflict Resolution,10,36,10,7,13,10.0,0.0
142,20,Other,Master's,Manager,Persuasive Speaking,4,39,1,6,9,9.1,127.5
143,31,Other,Master's,Data Scientist,Critical Thinking,5,14,10,1,10,6.6,32.0
144,27,Other,Bachelor's,Software Engineer,Writing Skills,10,7,4,8,9,10.0,0.0
145,27,Other,Master's,Manager,Critical Thinking,5,16,2,2,15,7.0,40.0
146,34,Other,Bachelor's,Student,Communication,8,35,4,5,2,10.0,25.0
147,30,Male,Bachelor's,Data Scientist,Emotional Intelligence,10,33,1,9,13,10.0,0.0
148,22,Other,Bachelor's,Software Engineer,Conflict Resolution,8,9,2,8,2,10.0,25.0
149,20,Other,Bachelor's,Software Engineer,Critical Thinking,2,29,8,2,19,5.3,165.0
150,27,Other,High School,Manager,Communication,7,45,6,9,2,10.0,42.9
151,22,Other,PhD,Data Scientist,Conflict Resolution,8,35,2,5,3,10.0,25.0
152,22,Female,High School,Data Scientist,Emotional Intelligence,6,25,6,10,6,10.0,66.7
153,20,Male,Master's,Data Scientist,Critical Thinking,5,24,10,6,3,8.6,72.0
154,30,Other,High School,Data Scientist,Conflict Resolution,9,43,9,3,10,10.0,11.1
155,24,Other,High School,Student,Writing Skills,3,26,7,3,6,6.2,106.7
156,29,Other,Master's,Data Scientist,Writing Skills,10,8,9,10,16,10.0,0.0
157,26,Male,Master's,Software Engineer,Persuasive Speaking,4,17,5,8,17,7.3,82.5
158,29,Female,Master's,Software Engineer,Persuasive Speaking,9,49,7,10,19,10.0,11.1
159,28,Male,High School,Student,Conflict Resolution,6,46,7,10,3,10.0,66.7
160,31,Female,High School,Software Engineer,Communication,8,24,3,2,18,10.0,25.0
161,26,Other,Master's,Software Engineer,Writing Skills,7,17,7,2,7,9.1,30.0
162,28,Other,PhD,Data Scientist,Communication,2,21,1,5,9,5.1,155.0
163,27,Male,PhD,Software Engineer,Communication,3,40,9,6,12,8.2,173.3
164,31,Male,Bachelor's,Student,Conflict Resolution,1,37,10,2,5,5.1,410.0
165,21,Female,Master's,Data Scientist,Communication,9,5,6,5,3,10.0,11.1
166,20,Female,Bachelor's,Manager,Writing Skills,7,19,5,7,11,10.0,42.9
167,35,Male,PhD,Data Scientist,Emotional Intelligence,1,17,7,10,4,4.7,370.0
168,26,Female,Bachelor's,Student,Persuasive Speaking,3,21,5,10,5,7.1,136.7
169,26,Male,Master's,Data Scientist,Emotional Intelligence,4,28,10,8,1,8.4,110.0
170,33,Female,Master's,Data Scientist,Communication,4,12,5,7,18,6.6,65.0
171,27,Male,Master's,Student,Emotional Intelligence,5,31,10,8,12,9.7,94.0
172,24,Male,High School,Data Scientist,Writing Skills,3,49,7,9,13,9.7,223.3
173,22,Male,Bachelor's,Student,Writing Skills,3,27,10,5,9,6.7,123.3
174,31,Female,PhD,Student,Communication,1,12,7,5,2,3.2,220.0
175,27,Female,PhD,Manager,Conflict Resolution,7,12,3,10,5,10.0,42.9
176,25,Female,PhD,Software Engineer,Emotional Intelligence,10,30,3,4,13,10.0,0.0
177,30,Male,High School,Software Engineer,Conflict Resolution,1,17,10,9,16,4.5,350.0
178,22,Female,High School,Data Scientist,Conflict Resolution,2,43,3,5,16,7.3,265.0
179,20,Female,Master's,Data Scientist,Leadership,4,41,6,2,3,8.5,112.5
180,22,Male,PhD,Manager,Communication,4,32,6,10,4,9.2,130.0
181,24,Other,High School,Manager,Persuasive Speaking,5,29,3,8,11,9.5,90.0
182,34,Male,Master's,Manager,Writing Skills,2,20,3,7,14,5.4,170.0
183,33,Female,PhD,Student,Writing Skills,4,6,8,8,3,6.2,55.0
184,22,Male,Bachelor's,Manager,Communication,1,22,8,3,16,3.8,280.0
185,20,Other,Master's,Manager,Critical Thinking,2,21,7,4,15,4.9,145.0
186,24,Male,High School,Data Scientist,Critical Thinking,1,34,10,5,10,5.4,440.0
187,29,Female,High School,Manager,Critical Thinking,10,43,4,6,9,10.0,0.0
188,26,Other,Master's,Student,Persuasive Speaking,10,17,4,1,11,10.0,0.0
189,34,Female,Master's,Student,Writing Skills,4,36,3,4,16,8.4,110.0
190,33,Other,High School,Data Scientist,Communication,4,33,5,10,10,9.3,132.5
191,26,Other,Bachelor's,Manager,Writing Skills,7,34,3,5,17,10.0,42.9
192,30,Male,PhD,Manager,Conflict Resolution,10,22,8,7,19,10.0,0.0
193,28,Male,Bachelor's,Student,Emotional Intelligence,9,17,7,5,2,10.0,11.1
194,34,Female,Master's,Manager,Emotional Intelligence,9,47,3,1,2,10.0,11.1
195,34,Male,Bachelor's,Manager,Writing Skills,5,25,9,7,6,8.9,78.0
196,29,Male,High School,Manager,Leadership,10,34,5,8,19,10.0,0.0
197,29,Other,Master's,Software Engineer,Persuasive Speaking,1,25,9,7,8,4.9,390.0
198,31,Male,PhD,Data Scientist,Critical Thinking,1,21,7,4,3,3.9,290.0
199,32,Other,High School,Software Engineer,Persuasive Speaking,6,44,7,8,14,10.0,66.7
200,22,Other,High School,Data Scientist,Persuasive Speaking,2,23,6,5,16,5.3,165.0
201,34,Other,PhD,Student,Conflict Resolution,8,19,2,10,1,10.0,25.0
202,35,Female,PhD,Manager,Persuasive Speaking,9,13,9,9,3,10.0,11.1
203,26,Female,Bachelor's,Data Scientist,Emotional Intelligence,4,14,6,10,18,7.4,85.0
204,20,Female,Master's,Software Engineer,Conflict Resolution,5,48,8,5,9,10.0,100.0
205,23,Other,PhD,Manager,Communication,8,35,1,1,6,10.0,25.0
206,32,Female,PhD,Student,Persuasive Speaking,3,27,5,9,1,7.5,150.0
207,35,Female,Master's,Data Scientist,Persuasive Speaking,5,34,1,5,10,9.4,88.0
208,23,Male,PhD,Data Scientist,Communication,3,37,10,6,6,7.9,163.3
209,33,Female,PhD,Data Scientist,Persuasive Speaking,10,13,8,4,12,10.0,0.0
210,24,Female,Bachelor's,Manager,Communication,3,5,8,6,4,4.7,56.7
211,26,Other,High School,Software Engineer,Conflict Resolution,3,48,1,8,13,9.4,213.3
212,26,Other,High School,Software Engineer,Emotional Intelligence,7,39,9,3,17,10.0,42.9
213,32,Other,High School,Data Scientist,Communication,7,15,2,5,8,9.5,35.7
214,34,Other,High School,Student,Leadership,7,38,9,2,3,10.0,42.9
215,30,Other,PhD,Student,Communication,10,20,1,2,12,10.0,0.0
216,32,Other,Master's,Software Engineer,Persuasive Speaking,8,13,10,7,7,10.0,25.0
217,23,Female,Master's,Student,Critical Thinking,5,36,9,10,12,10.0,100.0
218,32,Other,Bachelor's,Software Engineer,Critical Thinking,5,19,4,10,2,8.9,78.0
219,35,Other,Bachelor's,Data Scientist,Conflict Resolution,4,16,9,10,14,7.6,90.0
220,26,Male,PhD,Software Engineer,Writing Skills,7,37,7,6,5,10.0,42.9
221,30,Female,Master's,Software Engineer,Conflict Resolution,10,49,6,4,9,10.0,0.0
222,22,Female,Master's,Data Scientist,Writing Skills,4,18,5,5,11,6.8,70.0
223,25,Female,High School,Student,Critical Thinking,2,12,9,1,5,3.4,70.0
224,31,Other,PhD,Software Engineer,Critical Thinking,4,12,2,7,3,6.6,65.0
225,21,Other,PhD,Software Engineer,Communication,8,31,2,8,17,10.0,25.0
226,29,Other,High School,Data Scientist,Emotional Intelligence,9,16,9,9,2,10.0,11.1
227,32,Male,PhD,Student,Leadership,3,5,3,8,1,5.1,70.0
228,33,Other,PhD,Software Engineer,Conflict Resolution,7,47,8,5,7,10.0,42.9
229,28,Male,Bachelor's,Data Scientist,Persuasive Speaking,9,44,9,3,14,10.0,11.1
230,24,Female,Master's,Software Engineer,Writing Skills,4,46,8,10,5,10.0,150.0
231,25,Other,PhD,Manager,Persuasive Speaking,10,15,4,9,19,10.0,0.0
232,31,Male,Bachelor's,Data Scientist,Emotional Intelligence,3,43,1,6,11,8.5,183.3
233,31,Male,Master's,Student,Writing Skills,5,47,4,5,2,10.0,100.0
234,31,Other,High School,Student,Conflict Resolution,1,35,9,3,8,5.1,410.0
235,31,Female,Bachelor's,Student,Communication,3,21,2,6,9,6.3,110.0
236,23,Female,Bachelor's,Student,Persuasive Speaking,8,37,3,3,3,10.0,25.0
237,33,Female,Master's,Software Engineer,Emotional Intelligence,8,36,10,10,2,10.0,25.0
238,33,Male,High School,Software Engineer,Conflict Resolution,4,33,8,6,7,8.5,112.5
239,30,Male,Bachelor's,Student,Critical Thinking,2,25,6,4,5,5.3,165.0
240,35,Male,PhD,Student,Critical Thinking,8,25,8,2,5,10.0,25.0
241,29,Male,PhD,Student,Conflict Resolution,8,44,7,8,13,10.0,25.0
242,26,Female,PhD,Software Engineer,Conflict Resolution,10,27,5,4,6,10.0,0.0
243,31,Other,High School,Student,Conflict Resolution,4,10,9,9,18,6.8,70.0
244,28,Male,Bachelor's,Student,Writing Skills,3,26,4,7,2,7.0,133.3
245,26,Male,PhD,Manager,Conflict Resolution,2,42,6,2,6,6.6,230.0
246,33,Female,High School,Manager,Persuasive Speaking,9,41,2,4,9,10.0,11.1
247,20,Other,PhD,Student,Emotional Intelligence,1,49,2,5,3,6.9,590.0
248,20,Other,Master's,Data Scientist,Writing Skills,7,12,2,3,1,8.8,25.7
249,28,Female,Bachelor's,Student,Conflict Resolution,5,45,10,9,1,10.0,100.0
250,30,Female,Bachelor's,Manager,Leadership,8,39,7,5,19,10.0,25.0
251,33,Other,High School,Data Scientist,Leadership,4,15,2,2,5,5.9,47.5
252,28,Male,High School,Data Scientist,Emotional Intelligence,7,28,2,3,13,10.0,42.9
253,23,Other,Bachelor's,Student,Critical Thinking,5,25,9,9,19,9.3,86.0
254,32,Female,PhD,Manager,Communication,5,6,7,7,12,7.0,40.0
255,28,Male,PhD,Manager,Communication,9,44,3,2,16,10.0,11.1
256,22,Male,Master's,Data Scientist,Critical Thinking,9,23,3,9,19,10.0,11.1
257,26,Female,PhD,Student,Writing Skills,9,43,7,4,3,10.0,11.1
258,25,Female,High School,Software Engineer,Writing Skills,6,32,5,9,12,10.0,66.7
259,27,Female,High School,Software Engineer,Writing Skills,6,21,10,2,5,8.5,41.7
260,30,Other,PhD,Manager,Communication,5,10,6,10,2,8.0,60.0
261,28,Other,High School,Software Engineer,Leadership,9,23,8,4,7,10.0,11.1
262,33,Male,Bachelor's,Manager,Communication,10,42,9,5,13,10.0,0.0
263,24,Female,Bachelor's,Manager,Persuasive Speaking,8,32,1,2,15,10.0,25.0
264,20,Male,PhD,Manager,Conflict Resolution,7,6,3,10,3,9.6,37.1
265,22,Male,Bachelor's,Software Engineer,Writing Skills,7,42,7,1,5,10.0,42.9
266,29,Male,Bachelor's,Manager,Leadership,6,41,6,7,8,10.0,66.7
267,31,Male,Master's,Data Scientist,Emotional Intelligence,5,8,7,10,1,7.8,56.0
268,27,Female,Master's,Student,Emotional Intelligence,4,26,8,1,8,6.8,70.0
269,34,Male,Bachelor's,Student,Conflict Resolution,3,30,6,8,18,7.6,153.3
270,30,Female,PhD,Manager,Leadership,3,47,3,3,16,8.3,176.7
271,25,Female,Master's,Student,Communication,6,40,2,10,18,10.0,66.7
272,35,Other,High School,Software Engineer,Communication,4,17,7,6,12,6.9,72.5
273,35,Female,High School,Software Engineer,Persuasive Speaking,6,36,1,7,13,10.0,66.7
274,27,Other,High School,Student,Persuasive Speaking,3,21,3,10,13,7.1,136.7
275,28,Female,PhD,Software Engineer,Communication,4,45,4,1,10,8.7,117.5
276,23,Female,Bachelor's,Student,Emotional Intelligence,9,40,1,6,7,10.0,11.1
277,20,Female,High School,Student,Writing Skills,5,23,5,7,14,8.7,74.0
278,33,Other,PhD,Student,Emotional Intelligence,7,39,10,6,16,10.0,42.9
279,20,Other,Master's,Manager,Persuasive Speaking,10,44,3,4,15,10.0,0.0
280,29,Male,Bachelor's,Student,Conflict Resolution,2,32,2,1,12,5.4,170.0
281,23,Other,Master's,Manager,Communication,5,5,3,9,9,7.3,46.0
282,31,Other,PhD,Student,Persuasive Speaking,9,46,8,4,8,10.0,11.1
283,33,Other,High School,Student,Persuasive Speaking,3,22,6,7,18,6.6,120.0
284,26,Other,High School,Student,Writing Skills,9,44,7,7,18,10.0,11.1
285,21,Male,PhD,Software Engineer,Communication,6,37,6,2,13,10.0,66.7
286,22,Other,High School,Manager,Writing Skills,4,16,6,1,18,5.8,45.0
287,20,Female,Bachelor's,Manager,Communication,7,12,3,8,15,9.8,40.0
288,24,Female,PhD,Student,Writing Skills,8,28,8,8,4,10.0,25.0
289,20,Other,Master's,Student,Emotional Intelligence,6,20,7,7,17,9.4,56.7
290,27,Other,PhD,Software Engineer,Conflict Resolution,5,8,7,8,5,7.4,48.0
291,20,Female,Bachelor's,Software Engineer,Conflict Resolution,6,42,6,3,16,10.0,66.7
292,30,Female,Bachelor's,Software Engineer,Communication,5,48,5,2,9,10.0,100.0
293,20,Male,PhD,Manager,Leadership,8,31,10,7,10,10.0,25.0
294,21,Female,PhD,Manager,Critical Thinking,1,13,8,8,18,3.9,290.0
295,21,Female,High School,Manager,Persuasive Speaking,7,20,5,1,17,9.2,31.4
296,31,Other,Bachelor's,Student,Persuasive Speaking,10,16,9,10,18,10.0,0.0
297,25,Female,PhD,Manager,Communication,10,35,9,9,7,10.0,0.0
298,26,Male,PhD,Data Scientist,Writing Skills,2,28,1,4,4,5.6,180.0
299,24,Female,Bachelor's,Data Scientist,Leadership,9,18,6,4,5,10.0,11.1
300,35,Other,PhD,Software Engineer,Emotional Intelligence,1,49,7,3,16,6.5,550.0
301,20,Other,High School,Manager,Writing Skills,10,29,3,6,3,10.0,0.0
302,20,Female,Bachelor's,Data Scientist,Writing Skills,6,38,7,1,18,10.0,66.7
303,22,Other,High School,Software Engineer,Communication,9,7,7,6,14,10.0,11.1
304,33,Male,High School,Manager,Communication,1,28,2,2,15,4.2,320.0
305,21,Male,High School,Student,Persuasive Speaking,4,46,7,9,17,10.0,150.0
306,24,Female,High School,Data Scientist,Communication,4,13,1,2,1,5.7,42.5
307,31,Female,Bachelor's,Student,Communication,9,30,5,7,17,10.0,11.1
308,29,Female,High School,Manager,Communication,5,24,9,1,11,7.6,52.0
309,35,Other,High School,Data Scientist,Persuasive Speaking,5,44,7,7,17,10.0,100.0
310,25,Male,PhD,Manager,Emotional Intelligence,6,14,7,5,14,8.4,40.0
311,35,Male,Bachelor's,Student,Emotional Intelligence,1,23,2,8,19,4.9,390.0
312,26,Other,Bachelor's,Data Scientist,Critical Thinking,1,7,8,4,7,2.5,150.0
313,23,Male,Master's,Student,Critical Thinking,9,28,3,10,13,10.0,11.1
314,26,Female,Bachelor's,Manager,Communication,3,9,8,7,18,5.3,76.7
315,30,Female,Bachelor's,Manager,Critical Thinking,4,7,3,6,14,5.9,47.5
316,27,Female,Master's,Student,Persuasive Speaking,1,31,10,5,1,5.1,410.0
317,30,Male,Bachelor's,Data Scientist,Emotional Intelligence,9,20,7,4,7,10.0,11.1
318,20,Female,Bachelor's,Student,Writing Skills,8,19,2,7,8,10.0,25.0
319,34,Other,Bachelor's,Manager,Emotional Intelligence,2,39,4,5,18,6.9,245.0
320,25,Other,Bachelor's,Student,Emotional Intelligence,8,16,6,5,9,10.0,25.0
321,27,Male,Master's,Manager,Persuasive Speaking,7,45,9,1,1,10.0,42.9
322,24,Other,Bachelor's,Student,Critical Thinking,6,48,5,2,17,10.0,66.7
323,23,Other,Bachelor's,Data Scientist,Writing Skills,1,30,9,5,19,5.0,400.0
324,21,Male,Master's,Data Scientist,Persuasive Speaking,7,38,5,3,6,10.0,42.9
325,25,Female,PhD,Student,Communication,10,27,10,2,3,10.0,0.0
326,25,Female,High School,Student,Conflict Resolution,7,35,8,4,5,10.0,42.9
327,30,Female,PhD,Data Scientist,Emotional Intelligence,9,24,1,4,2,10.0,11.1
